"ImageNr" "n_org" "area_org" "radius_mean" "Replicate" "Organoid" "Treatment" "Medium"
"1" "XY01" 449 456063 15.7965615363914 "R1_rev" "mCol WT" "DMSO" "WENR"
"2" "XY02" 457 467494 15.6173732519303 "R1_rev" "mCol WT" "DMSO" "WENR"
"3" "XY03" 419 376338 14.7685030064613 "R1_rev" "mCol WT" "DMSO" "WENR"
"4" "XY04" 439 396853 14.4011925800404 "R1_rev" "mCol WT" "10 DB" "WENR"
"5" "XY05" 447 429073 15.2945193270566 "R1_rev" "mCol WT" "10 DB" "WENR"
"6" "XY06" 391 353954 14.9079949439274 "R1_rev" "mCol WT" "10 DB" "WENR"
"7" "XY07" 121 135959 16.731220782815 "R1_rev" "mCol APC" "DMSO" "ENR"
"8" "XY08" 163 197481 17.6940492726218 "R1_rev" "mCol APC" "DMSO" "ENR"
"9" "XY09" 99 105258 16.383013005486 "R1_rev" "mCol APC" "DMSO" "ENR"
"10" "XY10" 87 54217 11.9780172960069 "R1_rev" "mCol APC" "10 DB" "ENR"
"11" "XY11" 93 45705 10.8652491965847 "R1_rev" "mCol APC" "10 DB" "ENR"
"12" "XY12" 78 47384 12.2366728698314 "R1_rev" "mCol APC" "10 DB" "ENR"
"13" "XY13" 74 65212 14.5778800051476 "R1_rev" "mCol APC" "DMSO" "WENR"
"14" "XY14" 92 123112 17.9886064173621 "R1_rev" "mCol APC" "DMSO" "WENR"
"15" "XY15" 137 161301 17.0879376150551 "R1_rev" "mCol APC" "DMSO" "WENR"
"16" "XY16" 27 11189 9.8065721679957 "R1_rev" "mCol APC" "10 DB" "WENR"
"17" "XY17" 43 18383 9.81458023380313 "R1_rev" "mCol APC" "10 DB" "WENR"
"18" "XY18" 36 17401 10.2185609446743 "R1_rev" "mCol APC" "10 DB" "WENR"
"19" "XY01" 224 232384 16.0151457372102 "R2_rev" "mCol WT" "DMSO" "WENR"
"20" "XY02" 199 264173 17.9646461791753 "R2_rev" "mCol WT" "DMSO" "WENR"
"21" "XY03" 163 273795 19.6880157333884 "R2_rev" "mCol WT" "DMSO" "WENR"
"22" "XY04" 108 32956 8.67441391402441 "R2_rev" "mCol WT" "10 DB" "WENR"
"23" "XY05" 51 16222 8.88721950697334 "R2_rev" "mCol WT" "10 DB" "WENR"
"24" "XY06" 100 36605 9.7767402201941 "R2_rev" "mCol WT" "10 DB" "WENR"
"25" "XY07" 248 255967 15.7571061329848 "R2_rev" "mCol APC" "DMSO" "WENR"
"26" "XY08" 205 215853 15.721870980951 "R2_rev" "mCol APC" "DMSO" "WENR"
"27" "XY09" 299 269508 14.8441113279701 "R2_rev" "mCol APC" "DMSO" "WENR"
"28" "XY10" 135 61843 10.7208096513638 "R2_rev" "mCol APC" "10 DB" "WENR"
"29" "XY11" 183 87234 10.8592363733442 "R2_rev" "mCol APC" "10 DB" "WENR"
"30" "XY12" 138 48739 9.42345874707068 "R2_rev" "mCol APC" "10 DB" "WENR"
"31" "XY13" 266 240306 14.9060190271154 "R2_rev" "mCol APC" "DMSO" "ENR"
"32" "XY14" 243 259968 16.0404191167256 "R2_rev" "mCol APC" "DMSO" "ENR"
"33" "XY15" 298 295495 15.9234030433248 "R2_rev" "mCol APC" "DMSO" "ENR"
"34" "XY16" 168 72465 10.3107853543256 "R2_rev" "mCol APC" "10 DB" "ENR"
"35" "XY17" 186 90041 10.987730686411 "R2_rev" "mCol APC" "10 DB" "ENR"
"36" "XY18" 208 101873 10.8917648774728 "R2_rev" "mCol APC" "10 DB" "ENR"
"37" "XY01" 126 183603 18.9451273067863 "R3_rev" "mCol WT" "DMSO" "WENR"
"38" "XY02" 146 312541 20.7298140464878 "R3_rev" "mCol WT" "DMSO" "WENR"
"39" "XY03" 161 303284 20.1944708404659 "R3_rev" "mCol WT" "DMSO" "WENR"
"40" "XY04" 71 112554 18.0852558519591 "R3_rev" "mCol WT" "10 DB" "WENR"
"41" "XY05" 135 183239 17.1448135370422 "R3_rev" "mCol WT" "10 DB" "WENR"
"42" "XY06" 156 230852 18.2463630197687 "R3_rev" "mCol WT" "10 DB" "WENR"
"43" "XY07" 166 222569 18.9812397056567 "R3_rev" "mCol APC" "DMSO" "WENR"
"44" "XY08" 181 230541 18.608205185807 "R3_rev" "mCol APC" "DMSO" "WENR"
"45" "XY09" 165 212868 18.579678504665 "R3_rev" "mCol APC" "DMSO" "WENR"
"46" "XY10" 197 251021 18.2860616386377 "R3_rev" "mCol APC" "10 DB" "WENR"
"47" "XY11" 166 215841 18.4030349185071 "R3_rev" "mCol APC" "10 DB" "WENR"
"48" "XY12" 183 255215 19.0214481412634 "R3_rev" "mCol APC" "10 DB" "WENR"
"49" "XY13" 176 202209 17.3266688689298 "R3_rev" "mCol APC" "DMSO" "ENR"
"50" "XY14" 132 142870 17.0069676185148 "R3_rev" "mCol APC" "DMSO" "ENR"
"51" "XY15" 160 196154 18.4258042046005 "R3_rev" "mCol APC" "DMSO" "ENR"
"52" "XY16" 153 212005 19.1391043922317 "R3_rev" "mCol APC" "10 DB" "ENR"
"53" "XY17" 144 222902 20.327395203335 "R3_rev" "mCol APC" "10 DB" "ENR"
"54" "XY18" 170 268005 20.2429310662343 "R3_rev" "mCol APC" "10 DB" "ENR"
"55" "XY01" 348 299848 14.2823815964128 "R4_rev" "mCol WT" "DMSO" "WENR"
"56" "XY02" 253 304692 16.857068272865 "R4_rev" "mCol WT" "DMSO" "WENR"
"57" "XY03" 302 323819 16.303315305691 "R4_rev" "mCol WT" "DMSO" "WENR"
"58" "XY04" 229 141584 12.1209629594747 "R4_rev" "mCol WT" "10 DB" "WENR"
"59" "XY05" 240 188936 13.7621289225477 "R4_rev" "mCol WT" "10 DB" "WENR"
"60" "XY06" 294 243167 14.031696562892 "R4_rev" "mCol WT" "10 DB" "WENR"
"61" "XY07" 268 304667 16.6743398191421 "R4_rev" "mCol APC" "DMSO" "WENR"
"62" "XY08" 334 308611 15.0254745509352 "R4_rev" "mCol APC" "DMSO" "WENR"
"63" "XY09" 267 286685 16.4595012644053 "R4_rev" "mCol APC" "DMSO" "WENR"
"64" "XY10" 327 303970 15.0670140924821 "R4_rev" "mCol APC" "10 DB" "WENR"
"65" "XY11" 354 382167 16.1034300361277 "R4_rev" "mCol APC" "10 DB" "WENR"
"66" "XY12" 274 318283 16.5526171218609 "R4_rev" "mCol APC" "10 DB" "WENR"
